SlNo,ID,Pub_Year,Topic
226,5227,2052,0
227,5228,2054,0
228,5229,2053,0
229,5230,2054,0
230,5231,2051,1
231,5232,2054,0
232,5233,2054,0
233,5234,2051,0
234,5235,2054,0
235,5236,2046,0
236,5237,2053,0
237,5238,2054,0
238,5239,2051,0
239,5240,2046,0
240,5241,2051,0
241,5242,2054,0
242,5243,2054,0
243,5244,2053,0
244,5245,2046,0
245,5246,2051,0
246,5247,2054,0
247,5248,2045,0
248,5249,2053,0
249,5250,2053,0
250,5251,2054,0
251,5252,2046,0
252,5253,2053,0
253,5254,2052,0
254,5255,2054,0
255,5256,2043,0
256,5257,2046,0
257,5258,2053,0
258,5259,2045,0
259,5260,2054,0
260,5261,2044,0
261,5262,2054,0
262,5263,2054,0
263,5264,2054,0
264,5265,2045,0
265,5266,2051,0
266,5267,2046,0
267,5268,2052,0
268,5269,2054,0
269,5270,2054,0
270,5271,2054,0
271,5272,2054,0
272,5273,2045,0
273,5274,2052,0
274,5275,2054,0
275,5276,2052,0
276,5277,2054,0
277,5278,2051,0
278,5279,2053,0
279,5280,2054,0
280,5281,2051,0
281,5282,2054,0
282,5283,2054,0
283,5284,2051,0
284,5285,2045,0
285,5286,2054,0
286,5287,2053,0
287,5288,2051,0
288,5289,2053,0
289,5290,2054,0
290,5291,2054,0
291,5292,2052,0
292,5293,2052,0
293,5294,2054,0
294,5295,2054,0
295,5296,2053,0
296,5297,2054,0
297,5298,2052,0
298,5299,2054,0
299,5300,2054,0
300,5301,2054,0
301,5302,2051,0
302,5303,2054,0
303,5304,2054,0
304,5305,2054,0
305,5306,2051,0
306,5307,2054,0
307,5308,2054,0
308,5309,2052,0
309,5310,2045,0
310,5311,2051,0
311,5312,2054,0
312,5313,2052,0
313,5314,2053,0
314,5315,2054,0
315,5316,2051,0
316,5317,2054,0
317,5318,2052,0
318,5319,2052,0
319,5320,2053,0
320,5321,2054,0
321,5322,2054,0
322,5323,2054,1
323,5324,2054,0
324,5325,2054,0
325,5326,2045,0
326,5327,2054,0
327,5328,2045,2
328,5329,2053,0
329,5330,2054,0
330,5331,2046,0
331,5332,2054,0
332,5333,2053,0
333,5334,2051,0
334,5335,2053,0
335,5336,2054,0
336,5337,2053,0
337,5338,2054,0
338,5339,2054,0
339,5340,2054,0
340,5341,2054,0
341,5342,2051,0
342,5343,2053,0
343,5344,2046,0
344,5345,2051,0
345,5346,2054,0
346,5347,2054,0
347,5348,2054,0
348,5349,2054,0
349,5350,2054,0
350,5351,2054,2
351,5352,2054,0
352,5353,2051,0
353,5354,2054,0
354,5355,2051,0
355,5356,2052,0
356,5357,2054,0
357,5358,2054,0
358,5359,2054,0
359,5360,2054,0
360,5361,2054,0
361,5362,2053,0
362,5363,2054,0
363,5364,2054,0
364,5365,2053,0
365,5366,2051,0
366,5367,2054,0
367,5368,2046,0
368,5369,2054,0
369,5370,2046,0
370,5371,2054,0
371,5372,2053,0
372,5373,2052,0
373,5374,2054,0
374,5375,2051,0
375,5376,2052,0
376,5377,2048,0
377,5378,2054,0
378,5379,2053,0
379,5380,2054,0
380,5381,2054,0
381,5382,2053,0
382,5383,2054,0
383,5384,2054,0
384,5385,2054,0
385,5386,2054,0
386,5387,2054,0
387,5388,2051,0
388,5389,2053,0
389,5390,2048,0
390,5391,2053,2
391,5392,2054,0
392,5393,2054,0
393,5394,2046,0
394,5395,2046,0
395,5396,2045,0
396,5397,2054,0
397,5398,2046,0
398,5399,2053,0
399,5400,2052,0
400,5401,2054,0
401,5402,2053,0
402,5403,2054,0
403,5404,2054,0
404,5405,2054,0
405,5406,2054,0
406,5407,2054,1
407,5408,2053,0
408,5409,2053,0
409,5410,2052,0
410,5411,2054,0
411,5412,2045,0
412,5413,2046,0
413,5414,2054,0
414,5415,2054,0
415,5416,2051,0
416,5417,2052,0
417,5418,2054,0
418,5419,2054,0
419,5420,2054,0
420,5421,2054,0
421,5422,2048,0
422,5423,2053,0
423,5424,2047,0
424,5425,2052,0
425,5426,2054,0
426,5427,2054,0
427,5428,2052,0
428,5429,2052,0
429,5430,2053,0
430,5431,2046,0
431,5432,2052,0
432,5433,2048,0
433,5434,2046,0
434,5435,2054,0
435,5436,2054,0
436,5437,2053,0
437,5438,2054,0
438,5439,2054,0
439,5440,2053,0
440,5441,2053,0
441,5442,2054,0
442,5443,2046,0
443,5444,2054,0
444,5445,2052,0
445,5446,2054,0
446,5447,2052,0
447,5448,2051,0
448,5449,2054,0
449,5450,2054,0
450,5451,2053,0
451,5452,2046,0
452,5453,2054,0
453,5454,2054,0
454,5455,2046,0
455,5456,2046,0
456,5457,2054,0
457,5458,2054,0
458,5459,2054,0
459,5460,2054,0
460,5461,2054,0
461,5462,2054,0
462,5463,2054,0
463,5464,2054,0
464,5465,2054,1
465,5466,2045,0
466,5467,2048,0
467,5468,2053,0
468,5469,2054,0
469,5470,2046,0
470,5471,2052,0
471,5472,2054,0
472,5473,2054,0
473,5474,2054,0
474,5475,2054,0
475,5476,2053,0
476,5477,2052,0
477,5478,2046,0
478,5479,2053,0
479,5480,2052,0
480,5481,2053,0
481,5482,2054,0
482,5483,2053,0
483,5484,2048,1
484,5485,2054,0
485,5486,2053,0
486,5487,2046,0
487,5488,2054,0
488,5489,2054,0
489,5490,2053,0
490,5491,2051,0
491,5492,2054,0
492,5493,2052,0
493,5494,2051,0
494,5495,2054,0
495,5496,2053,0
496,5497,2046,0
497,5498,2054,0
498,5499,2052,0
499,5500,2053,0
500,5501,2054,0
501,5502,2054,0
502,5503,2054,0
503,5504,2054,0
504,5505,2054,0
505,5506,2054,0
506,5507,2051,0
507,5508,2054,0
508,5509,2052,0
509,5510,2051,0
510,5511,2054,0
511,5512,2054,0
512,5513,2053,0
513,5514,2051,0
514,5515,2054,0
515,5516,2052,0
516,5517,2054,0
517,5518,2046,0
518,5519,2054,0
519,5520,2051,0
520,5521,2044,0
521,5522,2054,0
522,5523,2054,0
523,5524,2052,0
524,5525,2054,0
525,5526,2052,0
526,5527,2046,0
527,5528,2054,0
528,5529,2054,0
529,5530,2054,0
530,5531,2054,0
531,5532,2048,0
532,5533,2054,0
533,5534,2045,0
534,5535,2045,0
535,5536,2054,0
536,5537,2054,0
537,5538,2054,0
538,5539,2052,0
539,5540,2052,0
540,5541,2054,0
541,5542,2052,0
542,5543,2046,0
543,5544,2054,0
544,5545,2052,0
545,5546,2054,0
546,5547,2054,0
547,5548,2054,0
548,5549,2050,0
549,5550,2054,0
550,5551,2049,0
551,5552,2045,0
552,5553,2045,0
553,5554,2045,0
554,5555,2053,0
555,5556,2054,0
556,5557,2054,1
557,5558,2052,0
558,5559,2053,0
559,5560,2054,0
560,5561,2054,0
561,5562,2051,0
562,5563,2054,0
563,5564,2054,0
564,5565,2054,0
565,5566,2053,0
566,5567,2054,0
567,5568,2054,0
568,5569,2054,0
569,5570,2052,0
570,5571,2054,0
571,5572,2054,0
572,5573,2054,0
573,5574,2054,0
574,5575,2053,0
575,5576,2048,0
576,5577,2053,0
577,5578,2052,0
578,5579,2054,0
579,5580,2054,0
580,5581,2046,0
581,5582,2045,0
582,5583,2053,0
583,5584,2054,0
584,5585,2054,0
585,5586,2054,0
586,5587,2054,0
587,5588,2052,0
588,5589,2054,0
589,5590,2054,0
590,5591,2051,0
591,5592,2053,0
592,5593,2046,0
593,5594,2053,0
594,5595,2054,0
595,5596,2054,0
596,5597,2052,0
597,5598,2053,0
598,5599,2054,0
599,5600,2054,0
600,5601,2053,0
601,5602,2054,0
602,5603,2052,0
603,5604,2051,0
604,5605,2054,0
605,5606,2046,0
606,5607,2053,0
607,5608,2054,0
608,5609,2046,0
609,5610,2046,0
610,5611,2046,0
611,5612,2045,0
612,5613,2054,0
613,5614,2054,0
614,5615,2052,0
615,5616,2053,0
616,5617,2054,0
617,5618,2054,0
618,5619,2051,0
619,5620,2046,0
620,5621,2054,0
621,5622,2054,0
622,5623,2054,0
623,5624,2053,0
624,5625,2052,0
625,5626,2046,0
626,5627,2054,0
627,5628,2054,0
628,5629,2053,0
629,5630,2054,0
630,5631,2054,0
631,5632,2052,0
632,5633,2051,0
633,5634,2054,0
634,5635,2054,0
635,5636,2052,1
636,5637,2054,0
637,5638,2054,0
638,5639,2054,0
639,5640,2054,0
640,5641,2044,0
641,5642,2054,0
642,5643,2054,0
643,5644,2054,0
644,5645,2054,0
645,5646,2054,0
646,5647,2051,0
647,5648,2053,0
648,5649,2046,0
649,5650,2053,0
650,5651,2045,0
651,5652,2046,0
652,5653,2054,0
653,5654,2054,0
654,5655,2051,0
655,5656,2051,0
656,5657,2054,0
657,5658,2054,0
658,5659,2046,0
659,5660,2054,0
660,5661,2054,0
661,5662,2051,0
662,5663,2051,0
663,5664,2052,0
664,5665,2053,0
665,5666,2054,0
666,5667,2054,0
667,5668,2054,0
668,5669,2054,0
669,5670,2054,0
670,5671,2045,0
671,5672,2053,0
672,5673,2048,1
673,5674,2054,0
674,5675,2054,0
675,5676,2052,0
676,5677,2051,0
677,5678,2052,0
678,5679,2054,0
679,5680,2054,0
680,5681,2051,0
681,5682,2051,0
682,5683,2052,0
683,5684,2054,0
684,5685,2054,0
685,5686,2052,0
686,5687,2054,0
687,5688,2054,0
688,5689,2054,0
689,5690,2052,0
690,5691,2053,0
691,5692,2054,0
692,5693,2054,0
693,5694,2054,0
694,5695,2053,0
695,5696,2054,0
696,5697,2051,0
697,5698,2054,1
698,5699,2051,0
699,5700,2054,0
700,5701,2048,0
701,5702,2053,0
702,5703,2053,0
703,5704,2048,0
704,5705,2054,0
705,5706,2054,0
706,5707,2053,0
707,5708,2046,0
708,5709,2054,0
709,5710,2054,0
710,5711,2054,0
711,5712,2045,0
712,5713,2051,0
713,5714,2054,0
714,5715,2053,0
715,5716,2054,0
716,5717,2047,0
717,5718,2046,0
718,5719,2053,0
719,5720,2054,0
720,5721,2046,0
721,5722,2053,0
722,5723,2054,0
723,5724,2046,0
724,5725,2045,0
725,5726,2051,0
726,5727,2054,0
727,5728,2054,0
728,5729,2054,0
729,5730,2046,0
730,5731,2054,0
731,5732,2046,0
732,5733,2054,0
733,5734,2054,0
734,5735,2053,0
735,5736,2053,0
736,5737,2054,0
737,5738,2054,0
738,5739,2054,0
739,5740,2054,0
740,5741,2053,0
741,5742,2054,0
742,5743,2045,0
743,5744,2054,0
744,5745,2054,0
745,5746,2046,0
746,5747,2054,0
747,5748,2054,0
748,5749,2054,0
749,5750,2052,0
750,5751,2054,0
751,5752,2052,0
752,5753,2051,0
753,5754,2054,0
754,5755,2054,0
755,5756,2052,0
756,5757,2053,0
757,5758,2047,0
758,5759,2053,0
759,5760,2054,0
760,5761,2054,0
761,5762,2054,0
762,5763,2054,0
763,5764,2046,0
764,5765,2046,0
765,5766,2054,0
766,5767,2046,0
767,5768,2053,0
768,5769,2054,0
769,5770,2054,0
770,5771,2051,0
771,5772,2051,0
772,5773,2054,0
773,5774,2045,0
774,5775,2054,0
775,5776,2046,0
776,5777,2054,0
777,5778,2054,0
778,5779,2054,0
779,5780,2054,0
780,5781,2054,0
781,5782,2054,0
782,5783,2051,0
783,5784,2046,0
784,5785,2054,0
785,5786,2054,0
786,5787,2054,0
787,5788,2053,0
788,5789,2045,0
789,5790,2054,0
790,5791,2054,0
791,5792,2053,0
792,5793,2054,0
793,5794,2052,0
794,5795,2054,0
795,5796,2054,0
796,5797,2043,0
797,5798,2051,0
798,5799,2053,0
799,5800,2053,0
800,5801,2054,0
801,5802,2054,0
802,5803,2054,0
803,5804,2053,0
804,5805,2054,0
805,5806,2052,0
806,5807,2054,0
807,5808,2053,0
808,5809,2054,0
809,5810,2051,0
810,5811,2054,0
811,5812,2054,0
812,5813,2054,0
813,5814,2048,0
814,5815,2054,0
815,5816,2053,0
816,5817,2052,0
817,5818,2051,0
818,5819,2046,0
819,5820,2052,0
820,5821,2054,0
821,5822,2054,0
822,5823,2052,0
823,5824,2054,0
824,5825,2052,0
825,5826,2054,0
826,5827,2046,0
827,5828,2054,0
828,5829,2051,1
829,5830,2046,1
830,5831,2053,0
831,5832,2054,0
832,5833,2046,0
833,5834,2052,0
834,5835,2052,0
835,5836,2054,0
836,5837,2054,0
837,5838,2054,0
838,5839,2054,0
839,5840,2054,0
840,5841,2054,0
841,5842,2052,0
842,5843,2054,0
843,5844,2054,0
844,5845,2054,0
845,5846,2054,0
846,5847,2054,0
847,5848,2054,0
848,5849,2045,0
849,5850,2051,0
850,5851,2054,0
851,5852,2053,0
852,5853,2054,0
853,5854,2054,0
854,5855,2054,0
855,5856,2054,0
856,5857,2043,0
857,5858,2054,0
858,5859,2054,0
859,5860,2044,0
860,5861,2046,0
861,5862,2054,0
862,5863,2053,0
863,5864,2053,0
864,5865,2053,0
865,5866,2051,0
866,5867,2054,0
867,5868,2054,0
868,5869,2053,0
869,5870,2054,0
870,5871,2054,0
871,5872,2046,0
872,5873,2052,0
873,5874,2054,0
874,5875,2054,0
875,5876,2054,0
876,5877,2054,0
877,5878,2053,0
878,5879,2054,0
879,5880,2054,0
880,5881,2054,0
881,5882,2053,0
882,5883,2054,0
883,5884,2053,0
884,5885,2053,0
885,5886,2054,0
886,5887,2053,0
887,5888,2054,0
888,5889,2054,0
889,5890,2054,0
890,5891,2046,0
891,5892,2052,0
892,5893,2054,0
893,5894,2054,0
894,5895,2052,0
895,5896,2054,0
896,5897,2054,0
897,5898,2054,0
898,5899,2045,0
899,5900,2054,0
900,5901,2054,0
901,5902,2053,0
902,5903,2054,0
903,5904,2054,0
904,5905,2054,0
905,5906,2054,0
906,5907,2046,0
907,5908,2052,0
908,5909,2045,1
909,5910,2051,0
910,5911,2052,0
911,5912,2046,0
912,5913,2046,0
913,5914,2054,0
914,5915,2054,0
915,5916,2054,0
916,5917,2046,0
917,5918,2053,0
918,5919,2054,0
919,5920,2053,0
920,5921,2054,0
921,5922,2054,0
922,5923,2054,0
923,5924,2054,0
924,5925,2054,0
925,5926,2054,0
926,5927,2054,0
927,5928,2052,0
928,5929,2046,0
929,5930,2053,0
930,5931,2054,0
931,5932,2054,0
932,5933,2054,0
933,5934,2054,0
934,5935,2054,0
935,5936,2052,0
936,5937,2053,0
937,5938,2045,0
938,5939,2054,0
939,5940,2054,0
940,5941,2054,0
941,5942,2053,0
942,5943,2054,0
943,5944,2046,0
944,5945,2051,0
945,5946,2047,0
946,5947,2046,0
947,5948,2054,0
948,5949,2051,0
949,5950,2052,0
950,5951,2054,0
951,5952,2046,0
952,5953,2054,0
953,5954,2054,0
954,5955,2054,0
955,5956,2053,0
956,5957,2054,0
957,5958,2054,0
958,5959,2052,0
959,5960,2046,0
960,5961,2054,0
961,5962,2054,0
962,5963,2054,0
963,5964,2054,0
964,5965,2054,0
965,5966,2046,0
966,5967,2054,0
967,5968,2054,0
968,5969,2054,0
969,5970,2051,0
970,5971,2054,0
971,5972,2054,0
972,5973,2053,0
973,5974,2054,0
974,5975,2045,0
975,5976,2051,0
976,5977,2046,0
977,5978,2053,0
978,5979,2051,0
979,5980,2045,0
980,5981,2054,0
981,5982,2048,0
982,5983,2054,0
983,5984,2046,0
984,5985,2054,0
985,5986,2046,0
986,5987,2053,0
987,5988,2051,0
988,5989,2052,0
989,5990,2053,0
990,5991,2051,0
991,5992,2052,0
992,5993,2052,0
993,5994,2054,0
994,5995,2054,0
995,5996,2044,0
996,5997,2046,0
997,5998,2054,0
998,5999,2054,0
999,6000,2054,0
1000,6001,2053,0
1001,6002,2045,0
1002,6003,2054,0
1003,6004,2048,0
1004,6005,2053,0
1005,6006,2051,0
1006,6007,2054,0
1007,6008,2054,0
1008,6009,2054,0
1009,6010,2054,0
1010,6011,2046,0
1011,6012,2046,0
1012,6013,2053,0
1013,6014,2052,0
1014,6015,2052,0
1015,6016,2054,0
1016,6017,2051,0
1017,6018,2052,0
1018,6019,2051,0
1019,6020,2053,0
1020,6021,2054,0
1021,6022,2053,0
1022,6023,2045,0
1023,6024,2053,0
1024,6025,2053,0
1025,6026,2054,0
1026,6027,2046,0
1027,6028,2051,0
1028,6029,2045,0
1029,6030,2046,0
1030,6031,2054,0
1031,6032,2054,0
1032,6033,2052,0
1033,6034,2047,0
1034,6035,2054,0
1035,6036,2053,0
1036,6037,2054,0
1037,6038,2046,0
1038,6039,2054,0
1039,6040,2054,0
1040,6041,2054,0
1041,6042,2052,0
1042,6043,2053,0
1043,6044,2054,0
1044,6045,2054,0
1045,6046,2054,0
1046,6047,2051,0
1047,6048,2054,0
1048,6049,2052,0
1049,6050,2046,0
1050,6051,2046,0
1051,6052,2054,0
1052,6053,2054,0
1053,6054,2052,0
1054,6055,2046,0
1055,6056,2047,0
1056,6057,2054,0
1057,6058,2051,0
1058,6059,2054,0
1059,6060,2044,0
1060,6061,2046,0
1061,6062,2051,0
1062,6063,2054,0
1063,6064,2054,0
1064,6065,2054,0
1065,6066,2054,0
1066,6067,2054,0
1067,6068,2052,0
1068,6069,2054,0
1069,6070,2051,0
1070,6071,2046,0
1071,6072,2054,0
1072,6073,2054,0
1073,6074,2054,0
1074,6075,2054,0
1075,6076,2054,0
1076,6077,2052,0
1077,6078,2054,0
1078,6079,2054,0
1079,6080,2054,0
1080,6081,2052,0
1081,6082,2054,0
1082,6083,2054,0
1083,6084,2054,0
1084,6085,2052,0
1085,6086,2054,0
1086,6087,2052,0
1087,6088,2045,0
1088,6089,2053,0
1089,6090,2054,0
1090,6091,2052,0
1091,6092,2052,0
1092,6093,2054,0
1093,6094,2046,0
1094,6095,2054,0
1095,6096,2052,0
1096,6097,2052,0
1097,6098,2045,0
1098,6099,2054,1
1099,6100,2054,0
1100,6101,2054,0
1101,6102,2046,0
1102,6103,2052,0
1103,6104,2046,0
1104,6105,2054,0
1105,6106,2054,0
1106,6107,2051,0
1107,6108,2053,0
1108,6109,2052,0
1109,6110,2053,0
1110,6111,2052,0
1111,6112,2054,0
1112,6113,2054,0
1113,6114,2054,0
1114,6115,2052,0
1115,6116,2046,0
1116,6117,2054,0
1117,6118,2053,0
1118,6119,2054,0
1119,6120,2046,0
1120,6121,2048,0
1121,6122,2054,0
1122,6123,2054,0
1123,6124,2054,2
1124,6125,2054,0
